model,column,precision,recall,f1,TP,FP,FN,TN
flan_default,processed_intent,0.9879310344827587,0.947107438016529,0.9670886075949366,573,7,32,0
flan_default,processed_class,0.35813148788927335,0.8589211618257261,0.5054945054945055,207,371,34,0
flan_default,processed_attributes,0.004158004158004158,0.05128205128205128,0.007692307692307693,2,479,37,94
flan_default,processed_filter_attributes,0.0,0.0,0.0,0,88,209,315
flan_treatment_mode,processed_intent,0.9939130434782608,0.9678238780694327,0.9806949806949807,1143,7,38,0
flan_treatment_mode,processed_class,0.7290379523389232,0.9375709421112373,0.82025819265144,826,307,55,0
flan_treatment_mode,processed_attributes,0.4919724770642202,0.7258883248730964,0.5864661654135338,429,443,162,154
flan_treatment_mode,processed_filter_attributes,0.5697674418604651,0.09245283018867924,0.1590909090909091,49,37,481,621
gemma3_default,processed_intent,1.0,0.98989898989899,0.9949238578680203,1176,0,12,0
gemma3_default,processed_class,0.9328231292517006,0.9891794409377818,0.9601750547045952,1097,79,12,0
gemma3_default,processed_attributes,0.40082644628099173,0.5300546448087432,0.45647058823529413,291,435,258,204
gemma3_default,processed_filter_attributes,0.42857142857142855,0.05084745762711865,0.09090909090909091,27,36,504,621
gemma3_treatment_mode,processed_intent,0.9991582491582491,1.0,0.999578947368421,1187,1,0,0
gemma3_treatment_mode,processed_class,0.837696335078534,0.9580838323353293,0.893854748603352,960,186,42,0
gemma3_treatment_mode,processed_attributes,0.46347305389221555,0.6660929432013769,0.5466101694915254,387,448,194,159
gemma3_treatment_mode,processed_filter_attributes,0.25,0.022598870056497175,0.04145077720207253,12,36,519,621
llama3_default,processed_intent,1.0,0.9537037037037037,0.976303317535545,1133,0,55,0
llama3_default,processed_class,0.7950310559006211,0.9362591431556949,0.8598848368522074,896,231,61,0
llama3_default,processed_attributes,0.0,0.0,0.0,0,165,591,432
llama3_default,processed_filter_attributes,0.0,0.0,0.0,0,0,567,621
llama3_treatment_mode,processed_intent,0.9974683544303797,0.9974683544303797,0.9974683544303797,1182,3,3,0
llama3_treatment_mode,processed_class,0.8565179352580927,0.9560546875,0.9035532994923858,979,164,45,0
llama3_treatment_mode,processed_attributes,0.4396551724137931,0.6307420494699647,0.5181422351233672,357,455,209,167
llama3_treatment_mode,processed_filter_attributes,0.1935483870967742,0.01107011070110701,0.020942408376963352,6,25,536,621
mistral_default,processed_intent,1.0,0.9537037037037037,0.976303317535545,1133,0,55,0
mistral_default,processed_class,0.2992056487202118,0.8604060913705583,0.4440078585461689,339,794,55,0
mistral_default,processed_attributes,0.0,0.0,0.0,0,171,585,432
mistral_default,processed_filter_attributes,0.0,0.0,0.0,0,0,567,621
mistral_treatment_mode,processed_intent,0.9983164983164983,1.0,0.9991575400168492,1186,2,0,0
mistral_treatment_mode,processed_class,0.8012259194395797,0.9521331945889698,0.87018544935806,915,227,46,0
mistral_treatment_mode,processed_attributes,0.45544554455445546,0.6456140350877193,0.5341074020319304,368,440,202,178
mistral_treatment_mode,processed_filter_attributes,0.2222222222222222,0.014842300556586271,0.027826086956521737,8,28,531,621
qwen3_default,processed_intent,1.0,0.9537037037037037,0.976303317535545,1133,0,55,0
qwen3_default,processed_class,0.0,0.0,0.0,0,1133,55,0
qwen3_default,processed_attributes,0.0,0.0,0.0,0,166,591,431
qwen3_default,processed_filter_attributes,0.0,0.0,0.0,0,0,567,621
qwen3_treatment_mode,processed_intent,0.976962457337884,0.9862187769164513,0.9815687955422204,1145,27,16,0
qwen3_treatment_mode,processed_class,0.7454228421970357,0.9542410714285714,0.8370044052863436,855,292,41,0
qwen3_treatment_mode,processed_attributes,0.38923654568210264,0.5992292870905588,0.4719271623672231,311,488,208,181
qwen3_treatment_mode,processed_filter_attributes,0.13793103448275862,0.007380073800738007,0.014010507880910681,4,25,538,621
