model,configuration,column,precision,recall,f1,accuracy,TP,FP,FN,TN
flan_default,default,processed_intent,0.9879310344827587,0.947107438016529,0.9670886075949366,0.9362745098039216,573,7,32,0
flan_default,default,processed_class,0.356401384083045,0.8583333333333333,0.5036674816625917,0.3366013071895425,206,372,34,0
flan_default,default,processed_attributes,0.002079002079002079,0.02631578947368421,0.0038535645472061657,0.0019305019305019305,1,480,37,94
flan_default,default,processed_filter_attributes,0.0,0.0,0.0,0.0,0,88,209,315
flan_treatment_mode,treatment_mode,processed_intent,0.9939130434782608,0.9678238780694327,0.9806949806949807,0.9621212121212122,1143,7,38,0
flan_treatment_mode,treatment_mode,processed_class,0.7149161518093556,0.9364161849710982,0.8108108108108107,0.6818181818181818,810,323,55,0
flan_treatment_mode,treatment_mode,processed_attributes,0.3876146788990826,0.676,0.49271137026239076,0.32688588007736946,338,534,162,154
flan_treatment_mode,treatment_mode,processed_filter_attributes,0.5,0.08206106870229007,0.14098360655737707,0.07583774250440917,43,43,481,621
gemma3_default,default,processed_intent,1.0,0.98989898989899,0.9949238578680203,0.98989898989899,1176,0,12,0
gemma3_default,default,processed_class,0.013605442176870748,0.5714285714285714,0.026578073089700997,0.013468013468013467,16,1160,12,0
gemma3_default,default,processed_attributes,0.29476584022038566,0.4533898305084746,0.35726210350584303,0.21747967479674796,214,512,258,204
gemma3_default,default,processed_filter_attributes,0.19047619047619047,0.023255813953488372,0.04145077720207254,0.021164021164021163,12,51,504,621
gemma3_treatment_mode,treatment_mode,processed_intent,0.9991582491582491,1.0,0.999578947368421,0.9991582491582491,1187,1,0,0
gemma3_treatment_mode,treatment_mode,processed_class,0.7661431064572426,0.9543478260869566,0.8499515972894482,0.7390572390572391,878,268,42,0
gemma3_treatment_mode,treatment_mode,processed_attributes,0.3784431137724551,0.6196078431372549,0.46988847583643123,0.30709426627793973,316,519,194,159
gemma3_treatment_mode,treatment_mode,processed_filter_attributes,0.125,0.011428571428571429,0.020942408376963352,0.010582010582010581,6,42,519,621
llama3_default,default,processed_intent,1.0,0.9537037037037037,0.976303317535545,0.9537037037037037,1133,0,55,0
llama3_default,default,processed_class,0.0044365572315882874,0.07575757575757576,0.008382229673093043,0.004208754208754209,5,1122,61,0
llama3_default,default,processed_attributes,0.0,0.0,0.0,0.0,0,165,591,432
llama3_default,default,processed_filter_attributes,0.0,0.0,0.0,0.0,0,0,567,621
llama3_treatment_mode,treatment_mode,processed_intent,0.9974683544303797,0.9974683544303797,0.9974683544303797,0.9949494949494949,1182,3,3,0
llama3_treatment_mode,treatment_mode,processed_class,0.7900262467191601,0.9525316455696202,0.8637015781922526,0.76010101010101,903,240,45,0
llama3_treatment_mode,treatment_mode,processed_attributes,0.3583743842364532,0.582,0.4435975609756097,0.2850146914789422,291,521,209,167
llama3_treatment_mode,treatment_mode,processed_filter_attributes,0.12903225806451613,0.007407407407407408,0.014010507880910681,0.007054673721340388,4,27,536,621
mistral_default,default,processed_intent,1.0,0.9537037037037037,0.976303317535545,0.9537037037037037,1133,0,55,0
mistral_default,default,processed_class,0.00088261253309797,0.017857142857142856,0.0016820857863751053,0.0008417508417508417,1,1132,55,0
mistral_default,default,processed_attributes,0.0,0.0,0.0,0.0,0,171,585,432
mistral_default,default,processed_filter_attributes,0.0,0.0,0.0,0.0,0,0,567,621
mistral_treatment_mode,treatment_mode,processed_intent,0.9983164983164983,1.0,0.9991575400168492,0.9983164983164983,1186,2,0,0
mistral_treatment_mode,treatment_mode,processed_class,0.7845884413309983,0.9511677282377919,0.8598848368522073,0.7542087542087542,896,246,46,0
mistral_treatment_mode,treatment_mode,processed_attributes,0.36757425742574257,0.5951903807615231,0.4544758990053558,0.29405940594059404,297,511,202,178
mistral_treatment_mode,treatment_mode,processed_filter_attributes,0.1388888888888889,0.009328358208955223,0.01748251748251748,0.008818342151675485,5,31,531,621
qwen3_default,default,processed_intent,1.0,0.9537037037037037,0.976303317535545,0.9537037037037037,1133,0,55,0
qwen3_default,default,processed_class,0.0,0.0,0.0,0.0,0,1133,55,0
qwen3_default,default,processed_attributes,0.0,0.0,0.0,0.0,0,166,591,431
qwen3_default,default,processed_filter_attributes,0.0,0.0,0.0,0.0,0,0,567,621
qwen3_treatment_mode,treatment_mode,processed_intent,0.976962457337884,0.9862187769164513,0.9815687955422204,0.9638047138047138,1145,27,16,0
qwen3_treatment_mode,treatment_mode,processed_class,0.7297297297297297,0.9533029612756264,0.8266666666666667,0.7045454545454546,837,310,41,0
qwen3_treatment_mode,treatment_mode,processed_attributes,0.31289111389236546,0.5458515283842795,0.3977724741447892,0.24826216484607747,250,549,208,181
qwen3_treatment_mode,treatment_mode,processed_filter_attributes,0.10344827586206896,0.005545286506469501,0.010526315789473682,0.005291005291005291,3,26,538,621
